Date,Establishment,Value,Comparator,Attainment Distribution
2016,est:5120136,711,comparator:virtual-comparator,distribution:middle-60pc
2016,est:5120136,1687,comparator:virtual-comparator,distribution:highest-20pc
2016,est:5123437,350,comparator:real-establishment,distribution:lowest-20pc
2016,est:5123437,1128,comparator:real-establishment,distribution:middle-60pc
2016,est:5123437,1939,comparator:real-establishment,distribution:highest-20pc
2016,est:5123437,280,comparator:virtual-comparator,distribution:lowest-20pc
2016,est:5123437,1066,comparator:virtual-comparator,distribution:middle-60pc
2016,est:5123437,1882,comparator:virtual-comparator,distribution:highest-20pc
2016,est:5128234,171,comparator:real-establishment,distribution:lowest-20pc
2016,est:5128234,855,comparator:real-establishment,distribution:middle-60pc
2016,est:5128234,1899,comparator:real-establishment,distribution:highest-20pc
2016,est:5128234,166,comparator:virtual-comparator,distribution:lowest-20pc
2016,est:5128234,829,comparator:virtual-comparator,distribution:middle-60pc
2016,est:5128234,1736,comparator:virtual-comparator,distribution:highest-20pc
2016,est:5135532,707,comparator:real-establishment,distribution:middle-60pc
2016,est:5135532,853,comparator:virtual-comparator,distribution:middle-60pc
2016,est:5135834,714,comparator:real-establishment,distribution:middle-60pc
2016,est:5135834,953,comparator:virtual-comparator,distribution:middle-60pc
2016,est:5135931,160,comparator:real-establishment,distribution:lowest-20pc
2016,est:5135931,694,comparator:real-establishment,distribution:middle-60pc
2016,est:5135931,1690,comparator:real-establishment,distribution:highest-20pc
2016,est:5135931,137,comparator:virtual-comparator,distribution:lowest-20pc
2016,est:5135931,745,comparator:virtual-comparator,distribution:middle-60pc
2016,est:5135931,1751,comparator:virtual-comparator,distribution:highest-20pc
2016,est:5142431,853,comparator:real-establishment,distribution:middle-60pc
2016,est:5142431,983,comparator:virtual-comparator,distribution:middle-60pc
2016,est:5142539,316,comparator:real-establishment,distribution:lowest-20pc
2016,est:5142539,977,comparator:real-establishment,distribution:middle-60pc
2016,est:5142539,1794,comparator:real-establishment,distribution:highest-20pc
2016,est:5142539,240,comparator:virtual-comparator,distribution:lowest-20pc
2016,est:5142539,951,comparator:virtual-comparator,distribution:middle-60pc
2016,est:5142539,1880,comparator:virtual-comparator,distribution:highest-20pc
2016,est:5142636,64,comparator:real-establishment,distribution:lowest-20pc
2016,est:5142636,542,comparator:real-establishment,distribution:middle-60pc
2016,est:5142636,1310,comparator:real-establishment,distribution:highest-20pc
2016,est:5142636,116,comparator:virtual-comparator,distribution:lowest-20pc
2016,est:5142636,625,comparator:virtual-comparator,distribution:middle-60pc
2016,est:5142636,1612,comparator:virtual-comparator,distribution:highest-20pc
2016,est:5142830,146,comparator:real-establishment,distribution:lowest-20pc
2016,est:5142830,1101,comparator:real-establishment,distribution:middle-60pc
2016,est:5142830,1942,comparator:real-establishment,distribution:highest-20pc
2016,est:5142830,202,comparator:virtual-comparator,distribution:lowest-20pc
2016,est:5142830,946,comparator:virtual-comparator,distribution:middle-60pc
2016,est:5142830,1891,comparator:virtual-comparator,distribution:highest-20pc
2016,est:5142938,169,comparator:real-establishment,distribution:lowest-20pc
2016,est:5142938,955,comparator:real-establishment,distribution:middle-60pc
2016,est:5142938,1891,comparator:real-establishment,distribution:highest-20pc
2016,est:5142938,172,comparator:virtual-comparator,distribution:lowest-20pc
2016,est:5142938,875,comparator:virtual-comparator,distribution:middle-60pc
2016,est:5142938,1871,comparator:virtual-comparator,distribution:highest-20pc
2016,est:5143837,171,comparator:real-establishment,distribution:lowest-20pc
2016,est:5143837,917,comparator:real-establishment,distribution:middle-60pc
2016,est:5143837,1944,comparator:real-establishment,distribution:highest-20pc
2016,est:5143837,134,comparator:virtual-comparator,distribution:lowest-20pc
2016,est:5143837,824,comparator:virtual-comparator,distribution:middle-60pc
2016,est:5143837,1789,comparator:virtual-comparator,distribution:highest-20pc
2016,est:5143934,176,comparator:real-establishment,distribution:lowest-20pc
2016,est:5143934,906,comparator:real-establishment,distribution:middle-60pc
2016,est:5143934,1972,comparator:real-establishment,distribution:highest-20pc
2016,est:5143934,252,comparator:virtual-comparator,distribution:lowest-20pc
2016,est:5143934,993,comparator:virtual-comparator,distribution:middle-60pc
2016,est:5143934,1924,comparator:virtual-comparator,distribution:highest-20pc
2016,est:5146038,219,comparator:real-establishment,distribution:lowest-20pc
2016,est:5146038,851,comparator:real-establishment,distribution:middle-60pc
2016,est:5146038,1780,comparator:real-establishment,distribution:highest-20pc
2016,est:5146038,219,comparator:virtual-comparator,distribution:lowest-20pc
2016,est:5146038,848,comparator:virtual-comparator,distribution:middle-60pc
2016,est:5146038,1814,comparator:virtual-comparator,distribution:highest-20pc
2016,est:5150132,140,comparator:real-establishment,distribution:lowest-20pc
2016,est:5150132,690,comparator:real-establishment,distribution:middle-60pc
2016,est:5150132,1594,comparator:real-establishment,distribution:highest-20pc
2016,est:5150132,166,comparator:virtual-comparator,distribution:lowest-20pc
2016,est:5150132,814,comparator:virtual-comparator,distribution:middle-60pc
2016,est:5150132,1822,comparator:virtual-comparator,distribution:highest-20pc
2016,est:5153131,160,comparator:real-establishment,distribution:lowest-20pc
2016,est:5153131,947,comparator:real-establishment,distribution:middle-60pc
2016,est:5153131,1925,comparator:real-establishment,distribution:highest-20pc
2016,est:5153131,208,comparator:virtual-comparator,distribution:lowest-20pc
